timestamp,y_p10,y_p50,y_p90,yhat
2021-01-01 00:00:00,4.862254370729701,7.994992163219802,11.127729955709903,7.994992163219802
2021-01-01 01:00:00,1.982082021084262,5.114819813574362,8.247557606064461,5.114819813574362
2021-01-01 02:00:00,0.7786873330686879,3.911425125558788,7.0441629180488885,3.911425125558788
2021-01-01 03:00:00,0.9629027958667242,4.095640588356825,7.228378380846925,4.095640588356825
2021-01-01 04:00:00,1.9605320296209103,5.093269822111011,8.22600761460111,5.093269822111011
2021-01-01 05:00:00,3.2198740811460214,6.352611873636122,9.485349666126222,6.352611873636122
2021-01-01 06:00:00,4.406317311029506,7.539055103519606,10.671792896009705,7.539055103519606
2021-01-01 07:00:00,5.416016652645127,8.548754445135227,11.681492237625328,8.548754445135227
2021-01-01 08:00:00,6.293379286571236,9.426117079061337,12.558854871551437,9.426117079061337
2021-01-01 09:00:00,7.125232810907169,10.25797060339727,13.390708395887371,10.25797060339727
2021-01-01 10:00:00,7.964365562133764,11.097103354623865,14.229841147113966,11.097103354623865
2021-01-01 11:00:00,8.800372164922132,11.933109957412233,15.065847749902332,11.933109957412233
2021-01-01 12:00:00,9.569908617370682,12.702646409860783,15.835384202350884,12.702646409860783
2021-01-01 13:00:00,10.186669001021844,13.319406793511945,16.452144586002046,13.319406793511945
2021-01-01 14:00:00,10.572206239201083,13.704944031691184,16.837681824181285,13.704944031691184
2021-01-01 15:00:00,10.676292645605397,13.809030438095498,16.9417682305856,13.809030438095498
2021-01-01 16:00:00,10.484039379584875,13.616777172074976,16.749514964565076,13.616777172074976
2021-01-01 17:00:00,10.01282491615885,13.145562708648951,16.278300501139054,13.145562708648951
2021-01-01 18:00:00,9.304202621469365,12.436940413959466,15.569678206449566,12.436940413959466
2021-01-01 19:00:00,8.415208797845382,11.547946590335483,14.680684382825584,11.547946590335483
2021-01-01 20:00:00,7.411442239188334,10.544180031678435,13.676917824168534,10.544180031678435
2021-01-01 21:00:00,6.362309431369554,9.495047223859656,12.627785016349755,9.495047223859656
2021-01-01 22:00:00,5.337666524042997,8.470404316533097,11.603142109023198,8.470404316533097
2021-01-01 23:00:00,4.404839480987292,7.537577273477392,10.670315065967493,7.537577273477392
